premierelocatie_id,relatie,value
131115,stad,Molenbeek
131115,postcode,1080
131115,land,België
133489,naam,Troubleyntheater
133489,adres,Pastorijstraat 23
133489,stad,Antwerpen
133489,postcode,2060
133489,land,België
138679,naam,StraPatZen (Straattheater-Pajottenland-Zennevallei)
138679,adres,
138679,stad,Sint-Pieters-Leeuw
138679,postcode,None
138679,land,België
134853,naam,Cultuurcentrum Feniks
134853,adres,Ganzenhofstraat 69
134853,stad,Avelgem
134853,postcode,8580
134853,land,België
139434,naam,Festival International de la Marionette
139434,adres,
139434,stad,Houffalize
139434,postcode,None
139434,land,België
137095,naam,Project Arts Centre
137095,adres,39 EAST ESSEX STREET
137095,stad,DUBLIN 2
137095,postcode,DU2
137095,land,Ierland
132055,naam,Stadsschouwburg Utrecht
132055,adres,Postbus 14068
132055,stad,Utrecht
132055,postcode,3508 SC
132055,land,Nederland
135947,naam,Rakvere Theatre
135947,adres,Kreutzwaldi 2a
135947,stad,Rakvere
135947,postcode,44314
135947,land,Estland
135622,naam,Schauspielhaus Wien
135622,adres,Porzellangasse 19
135622,stad,Wien
135622,postcode,A 1090
135622,land,Oostenrijk
140057,naam,Zolder van het vleeshuis
140057,adres,Grote Markt
140057,stad,Lier
140057,postcode,None
140057,land,België
130984,naam,De Poppenzaal
130984,adres,Steenweg op Oosthoven 114
130984,stad,Turnhout
130984,postcode,2300
130984,land,België
138663,naam,CC DGP - Atelier +1
138663,adres,
138663,stad,Oostende
138663,postcode,None
138663,land,België
131799,naam,Vlaamse Opera Antwerpen
131799,adres,Van Ertbornstraat 6
131799,stad,Antwerpen
131799,postcode,2018
131799,land,België
133615,naam,Auditorium Gemeentehuis Aalter
133615,adres,Europalaan 22
133615,stad,Aalter
133615,postcode,9880
133615,land,België
137336,naam,ruimte onbekend
137336,adres,None
137336,stad,Lausanne
137336,postcode,None
137336,land,België
139054,naam,MAMbo - Museo d'Arte Moderna di Bologna
139054,adres,
139054,stad,Bologna
139054,postcode,None
139054,land,Italië
137439,naam,Scène Vosges
137439,adres,"15, rue de la Comédie"
137439,stad,Epinal
137439,postcode,88000
137439,land,Frankrijk
135533,naam,Kapermolenpark
135533,adres,Elfde Liniestraat 21
135533,stad,Hasselt
135533,postcode,3500
135533,land,België
138671,naam,Grote Kerk
138671,adres,Oudestraat 26
138671,stad,Veere
138671,postcode,None
138671,land,Nederland
139366,naam,Op locatie
139366,adres,
139366,stad,Cran Gevrier
139366,postcode,None
139366,land,Frankrijk
131266,naam,Amstelveens Poppentheater
131266,adres,Wolfert van Borsselenweg 85a
131266,stad,Amstelveen
131266,postcode,1181 PH
131266,land,Nederland
140287,naam,Klein Strand
140287,adres,
140287,stad,Oostende
140287,postcode,None
140287,land,België
137265,naam,Münchner Kammerspiele
137265,adres,None
137265,stad,München
137265,postcode,None
137265,land,Duitsland
136839,naam,Teatro Municipal de Faro
136839,adres,"Estrada Nacional 125
Estrado Nacional 125"
136839,stad,Faro
136839,postcode,8005-518
136839,land,Portugal
132404,naam,Wiener Festwochen
132404,adres,Lehárgasse 11 / 1 / 1 / 6
132404,stad,Wien
132404,postcode,1060
132404,land,Oostenrijk
136283,naam,Theater der Boa
136283,adres,None
136283,stad,Lüzern
136283,postcode,None
136283,land,Zwitserland
137538,naam,LOD Studio
137538,adres,Bijlokekaai 7
137538,stad,Gent
137538,postcode,9000
137538,land,België
132438,naam,Casino Kursaal
132438,adres,None
132438,stad,Oostende
132438,postcode,8400
132438,land,België
134612,naam,Centre Pompidou
134612,adres,Place Georges Pompidou
134612,stad,Paris
134612,postcode,75191
134612,land,Frankrijk
131117,naam,Halles de Schaerbeek
131117,adres,Rue de la Constitution 20
131117,stad,Schaerbeek
131117,postcode,1030
131117,land,België
132548,naam,Walker Art Center
132548,adres,1750 Hennepin
132548,stad,Minneapolis
132548,postcode,MN 55403
132548,land,Verenigde Staten van Amerika
140271,naam,Haven Kloostermol
140271,adres,
140271,stad,Scharendijke
140271,postcode,None
140271,land,Nederland
136395,naam,Axel Vervoordt Kanaal
136395,adres,Stokerijstraat 19
136395,stad,Wijnegem
136395,postcode,2110
136395,land,België
138705,naam,Festival Bitume
138705,adres,
138705,stad,La Roche en Ardenne
138705,postcode,None
138705,land,België
140177,naam,Kunsthall
140177,adres,
140177,stad,Kristiansand
140177,postcode,None
140177,land,Noorwegen
136344,naam,Le Rive Gauche
136344,adres,"20, avenue du Val l'Abbé"
136344,stad,Saint-Etienne du Rouvray
136344,postcode,76800
136344,land,Frankrijk
134235,naam,Loods Agence Maritime Minne
134235,adres,Britse Kaai 8
134235,stad,Brugge
134235,postcode,8000
134235,land,België
133934,naam,Eskimofabriek
133934,adres,Wiedauwkaai 25
133934,stad,Gent
133934,postcode,9000
133934,land,België
135960,naam,Op locatie
135960,adres,None
135960,stad,Menen
135960,postcode,None
135960,land,België
140343,naam,RadicalSystem .V.
140343,adres,
140343,stad,Berlin
140343,postcode,None
140343,land,Duitsland
136986,naam,Boomwijk
136986,adres,Serbosstraat
136986,stad,Dendermonde
136986,postcode,9200
136986,land,België
135536,naam,Le Palace
135536,adres,Boulevard Anspach 85
135536,stad,Brussel
135536,postcode,1000
135536,land,België
139483,naam,Charleroi Danses
139483,adres,
139483,stad,Charleroi
139483,postcode,None
139483,land,België
134701,naam,CC 't Hofland
134701,adres,None
134701,stad,Ardooie
134701,postcode,8850
134701,land,België
137232,naam,Stara elektrarna - Old Power Station
137232,adres,Slomskova 18
137232,stad,Ljubljana
137232,postcode,1000
137232,land,Slovenië
134925,naam,TeCa - Teatro Carlos Alberto
134925,adres,"Rua das Oliveiras, 43"
134925,stad,Porto
134925,postcode,4050-449
134925,land,Portugal
139523,naam,Dance Theatre
139523,adres,
139523,stad,Taipei
139523,postcode,None
139523,land,Taiwan (Chinese Rep.)
136404,naam,Theater Boechout Vooruit
136404,adres,St. Bavoplein 17
136404,stad,Boechout
136404,postcode,2530
136404,land,België
137862,naam,op locatie
137862,adres,
137862,stad,Göteborg
137862,postcode,None
137862,land,Zweden
139800,naam,Basisschool Kroonlaan
139800,adres,
139800,stad,Oostende
139800,postcode,None
139800,land,België
140281,naam,Domaine Lacroix-Laval Chapiteau
140281,adres,
140281,stad,Lyon
140281,postcode,None
140281,land,Frankrijk
138899,naam,Kino Siska Centre for Urban Culture
138899,adres,
138899,stad,Ljubljana
138899,postcode,None
138899,land,Slovenië
139519,naam,Birminghamstraat 131
139519,adres,
139519,stad,Anderlecht
139519,postcode,None
139519,land,België
138719,naam,Jezuïtenkerk
138719,adres,
138719,stad,Lier
138719,postcode,None
138719,land,België
134950,naam,Zorgvlietpark
134950,adres,None
134950,stad,Hoboken
134950,postcode,2660
134950,land,België
139813,naam,Manège De Roterie
139813,adres,
139813,stad,Kuurne
139813,postcode,None
139813,land,België
138816,naam,National Centre for Performing Arts
138816,adres,
138816,stad,Beijng
138816,postcode,None
138816,land,China
132695,naam,Unicorntheatre
132695,adres,GREATNEWPORTSTREET
132695,stad,London
132695,postcode,None
132695,land,Groot-Brittannië
139877,naam,Hans Otto Theater
139877,adres,
139877,stad,Potsdam
139877,postcode,None
139877,land,Duitsland
135299,naam,Norbertijnerkapel
135299,adres,Kaatsspelplein
135299,stad,Gent
135299,postcode,9000
135299,land,België
135069,naam,Parnassos
135069,adres,Kruisstraat 201
135069,stad,Utrecht
135069,postcode,None
135069,land,Nederland
134243,naam,Moderna Dansteatern (MDT)
134243,adres,Hus 103 Skeppsholmen
134243,stad,Stockholm
134243,postcode,111 49
134243,land,Zweden
138571,naam,Les Tombées de la Nuit
138571,adres,
138571,stad,Rennes
138571,postcode,None
138571,land,Frankrijk
137568,naam,CarréRotondes
137568,adres,None
137568,stad,Luxembourg
137568,postcode,None
137568,land,Luxemburg 
137814,naam,Sint-Pietersziekenhuis
137814,adres,
137814,stad,Leuven
137814,postcode,3000
137814,land,België
134178,naam,Opéra Berlioz / Le Corum
134178,adres,Esplanade Charles de Gaulle
134178,stad,Montpellier
134178,postcode,34027
134178,land,Frankrijk
132040,naam,Muziekcentrum Vredenburg
132040,adres,Vredenburgpassage 77
132040,stad,Utrecht
132040,postcode,3511 DL
132040,land,Nederland
135383,naam,MuseumsQuartier
135383,adres,Museumsplatz 1/5
135383,stad,Wien
135383,postcode,1070
135383,land,Oostenrijk
138658,naam,Centre Culturel de Genappe
138658,adres,Rue de Bruxelles 14
138658,stad,Genappe
138658,postcode,1470
138658,land,België
139572,naam,Teateroen
139572,adres,
139572,stad,Copenhagen
139572,postcode,None
139572,land,Denemarken
139802,naam,Basisschool Vermeylen
139802,adres,
139802,stad,Oostende
139802,postcode,None
139802,land,België
137016,naam,De Kopergietery
137016,adres,Blekerijstraat 50
137016,stad,Gent
137016,postcode,9000
137016,land,België
133495,naam,Les Tréteaux
133495,adres,Lakensestraat 159
133495,stad,Brussel
133495,postcode,1000
133495,land,België
139923,naam,Muziekodroom
139923,adres,
139923,stad,Hasselt
139923,postcode,None
139923,land,België
136019,naam,"Begijnenstraat 42, Antwerpen"
136019,adres,Begijnenstraat 42
136019,stad,Antwerpen
136019,postcode,None
136019,land,België
136893,naam,Mo(nu)ment
136893,adres,Warandestraat 13
136893,stad,Gent
136893,postcode,9000
136893,land,België
137396,naam,CAMPO Victoria
137396,adres,Fratersplein 7
