,Lijst van personen
827,Vincent Druguet
828,Juan Albeiro Serrato Torres
829,Marcel Vandenbussche
830,Christophe Lesquene
831,Steen Bjarke
832,Johanna Chemnitz
833,Tommy Vercruysse
834,Andrew Charity
835,Maryam Hassouni
836,Ann De Winne
837,Sofie Missorten
838,Ann Diependaele
839,Babette Forsyth
840,Steffi Müller
841,Dirk van Bastelaere
842,Riet Uyttersprot
843,Diego Amador
844,Pepijn Ronaldo
845,Ida Veldeman
846,Nabil Yahya-Aissa
847,Marc Maillard
848,Flo Callens
849,Ellen Van Laecke
850,Tessa Verbruggen
851,Geert Hautekiet
852,Lotte Vannieuwenborg
853,Simon Virsaladze
854,Saskia Swalus
855,Carl Verbraeken
856,Patrick Onzia
857,Chris Terryn
858,Céline Didden
859,Diederik De Cock
860,Magda Van Goidsenhoven
861,George Gordon Byron Lord
862,Frances Lefebure
863,Sven Goyvaerts
864,Ief Gillis
865,Mary Herbert
866,Michiel Sipman
867,Ronny Nenner
868,Kasia Rausz
869,John Steinbeck
870,Bert Vanhuyse
871,Estelle Rullier
872,Mirjam Pernath
873,Dirk Tanghe
874,Nomsa Xaba
875,Marie-Lou Bauwens
876,Jelle Van Meerbergen
877,Thomas Jonigk
878,Alan Marriott
879,Dick Crane
880,Marc De Boeck
881,Salvador Gieling
882,Kristel De Weerdt
883,Johannes Weiss
884,Brigitte Luypaers
885,Simon Den Haerynck
886,Olivia Van Brabant
887,Walter Janssen
888,Philippe Mampuya
889,Tamarah Tossey
890,Joseph Méry
891,Peter Bergamin
892,Thomas Van de Velde
893,Anna Van Helsdingen
894,Cihan Cöl
895,Franc Aleu
896,Armel Roussel
897,Jan Carpentier
898,Lola Bogaert
899,Doppe Rhea Vanhellemont
900,Abigail Abraham
901,Stefanie De Smet
902,Iris Roggeman
903,Ruth Joos
904,Sasa Mitrovic
905,Mattias De Leeuw
906,Caroline Bindon
907,Jeremy James
908,Philippe Taszman
909,Bea Thoelen
910,Saori Miyazawa
911,Morena Prats
912,Stefan Vandenberghe
913,Mil Lenders
914,Elke Clompen
915,Hakim Marzougui
916,Nadine Secunde
917,Jo Vervaet
918,Annemie Thijs
919,Daniel Zorzano
920,Sennah Saey
921,Henny Vrienten
922,Nejla Yilmaz
923,Leen Echelpoels
924,Elke De Cleen
925,Kiki Vervloessem
926,Leen Remes
927,Marc D'hondt
928,Erna Siebens
929,Caroline Meerschaert
930,Wannes Van Coillie
931,Yves Mora
932,Ernst Daniël Smid
933,Olivia Van de Peer
934,Stephanie Dewyn
