,Lijst van organisaties,Count van producties
804,Eastman,37
805,Cie Sweatshop,2
806,Compagnie Nadine Ganase,1
807,Dadanero,2
808,Les Brigittines,1
809,Centre Chorégraphique de la Communauté française en Belgique,3
810,Compagnie Trois Pipes,1
811,Unie Der Zorgelozen,32
812,Devriendt vzw,10
813,OPENDOEK vzw,2
814,COMPANY FEED,1
815,Cultuurcentrum Hasselt,5
816,Madam Fortuna,6
817,Theater Zuidpool,132
818,Brandung,1
819,Schouwburg Kortrijk,1
820,Godarville asbl,1
821,Compagnie Trimaran,1
822,Air de C,3
823,WorkSpaceBrussels - Brusselse Werkplaats voor Podiumkunsten,11
824,Judas Theaterproducties,19
825,Nono C.,4
826,TEATERBARRIKADE ,2
827,theaterMalpertuis,144
828,Tg DeGroep,1
829,Abattoir Fermé,96
830,Compagnie Hopla,3
831,NTGent,235
832,Living Lines,1
833,Kunstencentrum Tor,8
834,Braakland/ZheBilding,109
835,APB De Warande,12
836,Stilllab,50
837,Compagnie Cecilia,50
838,Murmure vzw,2
839,de ELsmakerij,2
840,Hertenkamp,3
841,Roberta Dance Compagnie,1
842,Alexander Sreyeac Compagnie,6
843,Pain Arts,2
844,Lampe,14
845,CREW_eric joris,60
846,Opera Mobile,8
847,deSingel,17
848,Sight Of An Ignored Landscape,1
849,vzw Root,2
850,De Vereniging van Enthousiasten voor het Reële & Universele VZW,8
851,Kuiperskaai,6
852,Theater Bas,12
853,CC Antoon Spinoy,1
854,Aifoon vzw,3
855,De Verenigde Cultuurfabrieken vzw,1
856,Bob vzw,1
857,Arthur,1
858,ProMITHEus,2
859,Bloet,25
860,Zeven vzw,14
861,Le manège.mons,4
862,UA - Theaterwetenschappen,3
863,'t Arsenaal,97
864,De Erfgenamen van Pia Fraus,1
865,Rubber Duck,3
866,One-off vzw,4
867,Cour & Jardin,4
868,Club Moral,3
869,Les Tanneurs,10
870,Mir/Oeral vzw,1
871,Passerelle - platform voor jonge dans,23
872,Artesis - Koninklijk Conservatorium Campus Lier,2
873,Petaar vzw,2
874,SuperBodies,1
875,Mirakel,4
876,Nat Gras,16
877,School of Arts - KASK DRAMA,4
878,Theaterwerkplaats NEST,3
879,Limelight,25
880,Ensemble Leporello,187
881,Bij' De Vieze Gasten,47
882,Strange Fruit vzw,1
883,Blauw,2
884,CC De Werft,3
885,John Torso Swim Cie,6
886,Luna Baal,1
887,Dame de Pic ASBL / Cie Karine Ponties,18
888,Rubio Strijkkwartet,1
889,Artforum vzw,12
890,Quetzal asbl,1
891,De Werf,118
892,Lieflamd,2
893,Compagnie Furiosas,2
894,De Stichting / Peter De Graef,13
895,Sonda,1
896,Les Ballets du Grand Maghreb,7
897,DROP PROD,4
898,Vlinderboom en Stinkzwam Experimenten,12
899,Tmg LAP,7
900,Erasmushogeschool Brussel / Koninklijk Conservatorium,24
901,Musidora,1
902,Le Label Cedana,3
903,Theater Woelwater,13
904,Sandman,8
905,Het Schooljeugdtheater,34
906,Charlie Degotte,1
907,Phluïde Cie.,1
908,Aventura Musica,2
909,Corpus ca.,12
910,FosFor Collectief,1
911,Jeux Interdits Anc. Etabl.,3
912,P.A.R.T.S.,99
913,Anno '8,2
914,CAM TEATER- EN AUDIO-VIDEOPRODUKTIES,1
915,vzw Saignant,2
916,Studio Eclipse,13
917,The Ministry of Operatic Affairs,3
918,Stichting Kunst in het College vzw,5
919,Theatermakersgroep Exprezzive,3
920,Dinska Bronska,9
921,Artboem,3
922,Verenigde Planeten / United Planets,7
923,30CC,11
924,Theater De Spiegel,97
925,Doble Mandoble,1
926,Paul Coppens,2
927,Ferdnnd,1
928,unm,14
929,Ancienne Belgique (AB),1
930,Cultuurcentrum Kortrijk,2
931,Niels asbl,6
932,Rendez-Vous!?,1
